timestamp,count,conns,read_bytes_total,latency_ms_sum
1564762800,98587939.0,385.0,12326311400000.0,612218098.3
1564763100,98601965.0,368.0,12328846860000.0,612314297.7
1564763400,98615541.0,363.0,12331547790000.0,612428099.4
1564763700,98638373.0,383.0,12335132100000.0,612580697.9
1564764000,98666482.0,360.0,12338259020000.0,612698855.7
1564764300,98686027.0,351.0,12341224510000.0,612863558.4
1564764600,98692394.0,341.0,12343454220000.0,612967512.4
1564764900,98700181.0,326.0,12345810000000.0,613056571.0
1564765200,98706622.0,340.0,12347897190000.0,613128930.9
1564765500,98724428.0,463.0,12350468640000.0,613269055.5
1564765800,98770350.0,431.0,12353799080000.0,613453409.7
1564766100,98836226.0,414.0,12357926790000.0,613638725.6
1564766400,98882436.0,403.0,12362070770000.0,613782003.6
1564766700,98933991.0,392.0,12366533850000.0,613944300.0
1564767000,98974923.0,372.0,12369865640000.0,614063297.6
1564767300,99012114.0,363.0,12372852590000.0,614164253.9
1564767600,99060785.0,353.0,12376030390000.0,614274774.6
1564767900,99079397.0,343.0,12378407820000.0,614367530.8
1564768200,99095643.0,323.0,12380852430000.0,614446695.2
1564768500,99113033.0,341.0,12383944240000.0,614553113.8
1564768800,99133337.0,322.0,12387561050000.0,614686243.3
1564769100,99143410.0,356.0,12389161130000.0,614744507.1
1564769400,99151081.0,362.0,12390818750000.0,614824343.0
1564769700,99156559.0,337.0,12392295350000.0,614879056.6
1564770000,99166090.0,359.0,12394282590000.0,614970960.3
1564770300,99172859.0,346.0,12396208540000.0,615037897.8
1564770600,99188162.0,353.0,12398604860000.0,615147980.7
1564770900,99202592.0,340.0,12401153970000.0,615247023.8
1564771200,99208877.0,309.0,12402905370000.0,615297588.1
1564771500,99211103.0,296.0,12404251850000.0,615320076.1
1564771800,99217007.0,285.0,12405956710000.0,615378122.1
1564772100,99226048.0,280.0,12407716820000.0,615429202.3
1564772400,99232486.0,301.0,12409133460000.0,615494354.1
1564772700,99245524.0,310.0,12411307390000.0,615598976.5
1564773000,99262976.0,318.0,12413868750000.0,615744357.8
1564773300,99274602.0,311.0,12415962510000.0,615846527.8
1564773600,99295259.0,320.0,12418875030000.0,615991529.4
1564773900,99344179.0,322.0,12422435240000.0,616148410.7
1564774200,99377396.0,325.0,12426641760000.0,616331131.8
1564774500,99402679.0,327.0,12431505310000.0,616535531.3
1564774800,99415296.0,314.0,12435043910000.0,616672969.2
1564775100,99418009.0,305.0,12436586410000.0,616709852.0
1564775400,99429733.0,304.0,12438877310000.0,616789604.0
1564775700,99434409.0,297.0,12440612820000.0,616841671.5
1564776000,99438887.0,306.0,12442510160000.0,616893500.1
1564776300,99443937.0,334.0,12444151650000.0,616946659.1
1564776600,99456480.0,335.0,12446857130000.0,617049059.9
1564776900,99471431.0,324.0,12450215750000.0,617193361.1
1564777200,99493755.0,346.0,12453937930000.0,617383879.1
1564777500,99501208.0,322.0,12455755430000.0,617447294.5
1564777800,99509537.0,353.0,12457492690000.0,617531301.6
1564778100,99522599.0,308.0,12459746980000.0,617646961.0
1564778400,99530784.0,312.0,12461448620000.0,617721769.1
1564778700,99535334.0,298.0,12462754560000.0,617764372.2
1564779000,99537726.0,295.0,12463792860000.0,617791774.4
1564779300,99541639.0,298.0,12465106600000.0,617842222.0
1564779600,99545811.0,295.0,12467268910000.0,617898072.1
1564779900,99558276.0,333.0,12470209980000.0,618013459.2
1564780200,99580496.0,332.0,12473629230000.0,618152641.8
1564780500,99595177.0,324.0,12476648850000.0,618285253.4
1564780800,99613474.0,333.0,12480265970000.0,618465924.2
1564781100,99646096.0,333.0,12485067710000.0,618643925.4
1564781400,99670386.0,330.0,12489537760000.0,618817516.0
1564781700,99684459.0,318.0,12493391250000.0,618949813.6
1564782000,99695746.0,327.0,12497117490000.0,619062592.6
1564782300,99718645.0,316.0,12502079650000.0,619242277.5
1564782600,99734217.0,309.0,12506374930000.0,619394983.0
1564782900,99750967.0,313.0,12510407640000.0,619571353.1
1564783200,99757974.0,317.0,12512675870000.0,619643071.0
1564783500,99769883.0,348.0,12514787620000.0,619766861.8
1564783800,99780654.0,356.0,12516906240000.0,619896167.8
1564784100,99789241.0,359.0,12518329710000.0,620010703.2
1564784400,99803680.0,373.0,12520343490000.0,620188220.0
1564784700,99822035.0,364.0,12523154290000.0,620375041.4
1564785000,99836517.0,383.0,12525524910000.0,620519138.8
1564785300,99850774.0,365.0,12527630000000.0,620609470.3
1564785600,99862852.0,339.0,12529330490000.0,620714804.9
1564785900,99878812.0,343.0,12531563120000.0,620851305.6
1564786200,99901291.0,343.0,12534702730000.0,620988588.2
1564786500,99915305.0,341.0,12536844670000.0,621098619.7
1564786800,99923908.0,335.0,12538346510000.0,621190459.8
1564787100,99931947.0,365.0,12539766240000.0,621277972.4
1564787400,99945563.0,363.0,12541791990000.0,621431920.2
1564787700,99955718.0,389.0,12543764240000.0,621568284.7
1564788000,99961646.0,372.0,12545091590000.0,621649361.0
1564788300,99972604.0,392.0,12546986030000.0,621766885.3
1564788600,99983585.0,440.0,12548827610000.0,621890012.7
1564788900,99992943.0,367.0,12550410170000.0,622004779.9
1564789200,100007365.0,338.0,12553375210000.0,622175642.2
1564789500,100035599.0,361.0,12558286040000.0,622416787.2
1564789800,100058475.0,425.0,12561810580000.0,622539158.1
1564790100,100071815.0,420.0,12562925420000.0,622631939.1
1564790400,100082551.0,336.0,12564719670000.0,622749219.4
1564790700,100093763.0,389.0,12567167140000.0,622875409.0
1564791000,100106147.0,397.0,12569050750000.0,623023270.1
1564791300,100114441.0,404.0,12570520910000.0,623135023.9
1564791600,100135392.0,432.0,12573271190000.0,623362072.1
1564791900,100178548.0,420.0,12576313490000.0,623640983.3
1564792200,100224440.0,417.0,12578883550000.0,623813070.5
1564792500,100279583.0,420.0,12581586880000.0,624020482.9
1564792800,100330856.0,419.0,12585457660000.0,624284551.6
1564793100,100397594.0,399.0,12589923150000.0,624536884.2
